Серия;Тип резьбы;Резьба;Доп маркировка;Шаг резьбы;Класс резьбы;Тип диапазона диаметров обжимаемого кабеля;Диаметр обжимаемого кабеля мин;Диаметр обжимаемого кабеля макс;Размер под ключ S;Размер под ключ D;Длина кабельного ввода;Масса;Охранная  зона;Материал;Покрытие;Тип кабеля;Температура эксплуатации мин;Температура эксплуатации макс;IP;Маркировка взрывозащиты;Путь к библиотеки компаса;Имя файла модели;Номер чертежа;;Полное имя изделия
ВЗ-Н;М;12;-;1,5;6g;Стандартный;2;6;20;21,9;43;54;32;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н;М;16;-;1,5;6g;Стандартный;3;8;24;26,2;47;84;36;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н;М;20;-;1,5;6g;Стандартный;6;14;27;29,6;47;83;40;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н;М;25;-;1,5;6g;Стандартный;12;18;34;37,3;47;136;47;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н;М;25;Р;1,5;6g;Расширенный;6;18;34;37,3;47;145;47;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н;М;32;-;1,5;6g;Стандартный;18;25;40;43,6;47;166;54;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н;М;32;Р;1,5;6g;Расширенный;12;25;40;43,6;47;175;54;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н;М;40;-;1,5;6g;Стандартный;25;31;50;54,9;50;273;65;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н;М;50;-;1,5;6g;Стандартный;31;39;57;62,8;50;336;73;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н;М;63;-;1,5;6g;Стандартный;39;47;68;74,3;50;500;84;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н;М;75;-;1,5;6g;Стандартный;47;55;80;87,6;58;866;98;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н;М;75;А;1,5;6g;Стандартный;55;63;82;89,6;58;705;100;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н;М;90;-;1,5;6g;Стандартный;63;71;95;102,6;58;1029;113;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н;М;90;А;1,5;6g;Стандартный;71;79;102;109,6;58;1012;120;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н;М;90;В;2;6g;Стандартный;63;71;102;109,6;60;1028;120;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н;М;100;-;1,5;6g;Стандартный;79;87;115;122,6;60;1397;133;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н;М;100;А;1,5;6g;Стандартный;84;92;115;122,6;60;1522;133;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н;М;100;В;2;6g;Стандартный;79;87;115;122,6;60;1396;133;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н-МР;М;"16;12";-;1,5;6g;Стандартный;3;8;24;26,2;85;121;36,2;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н-МР;М;"20;15";-;1,5;6g;Стандартный;6;12;27;29,6;85;132;39,6;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н-МР;М;"20;16";-;1,5;6g;Стандартный;6;14;27;30,6;85;133;40,6;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н-МР;М;"20;20";-;1,5;6g;Стандартный;6;14;27;32,6;85;152;42,6;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н-МР;М;"20;22";-;1,5;6g;Стандартный;6;14;27;33,6;85;168;43,6;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н-МР;М;"20;25";-;1,5;6g;Стандартный;6;14;27;34,6;85;151;44,6;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н-МР;М;"25;20";-;1,5;6g;Стандартный;12;16,7;34;40,3;85;198;50,3;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н-МР;М;"25;22";-;1,5;6g;Стандартный;12;18;34;41,3;85;196;51,3;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н-МР;М;"25;25";-;1,5;6g;Стандартный;12;18;34;42,3;85;228;52,3;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н-МР;М;"25;32";-;1,5;6g;Стандартный;12;18;34;43,3;85;223;53,3;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н-МР;М;"32;25";-;1,5;6g;Стандартный;18;21;40;43,6;85;247;53,6;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н-МР;М;"32;32";-;1,5;6g;Стандартный;18;25;40;44,6;85;283;54,6;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н-МР;М;"32;38";-;1,5;6g;Стандартный;18;25;40;45,6;90;278;55,6;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н-МР;М;"40;38";-;1,5;6g;Стандартный;25;31;50;54,9;100;422;64,9;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н-Т;М;"20;1/2";-;1,5;6g;Стандартный;6;14;27;29,6;70;145;39,6;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н-Т;М;"25;3/4";-;1,5;6g;Стандартный;12;18;34;37,3;70;227;47,3;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н-Т;М;"32;1";-;1,5;6g;Стандартный;18;25;40;43,6;70;276;53,6;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Н-Т;М;"40;1 1/4";-;1,5;6g;Стандартный;25;31;50;54,9;75;429;64,9;Латунь;Никель;Небронированный;-60;230;"66;67;68";;;;;;
ВЗ-Б;М;16;-;1,5;6g;Стандартный;"3;8";"8;12";24;26,2;92;190;36,2;Латунь;Никель;Бронированный;-60;230;"66;67;68";;;;;;
